Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 Annual,"Dental Visit, Annual",New Jersey,5,73.4,1.31,75,71.8,"CDC, Behavioral Risk Factor Surveillance System",2016
2018,2018 Annual,Dentists,New Jersey,3,77.6,1.56,,,American Dental Association,2017
2018,2018 Annual,Diabetes,New Jersey,32,11,0.27,11.9,10.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Diabetes - $25-$49,999",New Jersey,47,16.5,1.52,19.4,13.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Diabetes - $50-$74,999",New Jersey,48,13.3,1.34,16.3,10.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Diabetes - $75,000 or More",New Jersey,38,7.8,0.55,9.1,6.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Ages 18-44,New Jersey,36,3.4,0.64,4.5,2.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Ages 45-64,New Jersey,25,13.8,-0.25,15.3,12.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Ages 65+,New Jersey,32,22.8,0.07,25,20.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - American Indian/Alaskan Native,New Jersey,,,,26.5,6.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Asian,New Jersey,,13.2,,17.7,8.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Black,New Jersey,,13.7,,16.3,11.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - College Grad,New Jersey,41,8.7,0.9,9.9,7.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Female,New Jersey,26,10.2,-0.14,11.3,9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Hawaiian/Pacific Islander,New Jersey,,,,48.7,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - High School Grad,New Jersey,27,14.1,0,16,12.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Hispanic,New Jersey,,12.7,,15.3,10,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Diabetes - Less Than $25,000",New Jersey,24,17.8,-0.15,20.3,15.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Less than High School,New Jersey,,20.5,,24.9,16.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Male,New Jersey,36,12,0.46,13.4,10.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Multiracial,New Jersey,,16.7,,25.1,8.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Other Race,New Jersey,,,,25.1,4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Some College,New Jersey,22,11.6,-0.37,13.3,9.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Suburban,New Jersey,,12.1,,13.4,10.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - Urban,New Jersey,22,15.5,-0.33,20,11,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Diabetes - White,New Jersey,21,9.5,-0.3,10.4,8.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Disconnected Youth,New Jersey,14,10.1,-0.6,0,0,"Measure of America, Promising Gains, Persistent Gaps Youth Disconnection in America 2018 Report",2016
2018,2018 Annual,Disparity in Health Status,New Jersey,40,31.2,0.26,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Drug Deaths,New Jersey,27,17.6,0.1,18.1,17.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Ages 15-24,New Jersey,,15,,16.3,13.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Ages 25-34,New Jersey,,37.7,,39.7,35.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Ages 35-44,New Jersey,,28.7,,30.5,26.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Ages 45-54,New Jersey,,29.5,,31.2,27.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Ages 55-64,New Jersey,,17.2,,18.6,15.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Ages 65-74,New Jersey,,4.7,,5.6,3.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - American Indian/Alaska Native,New Jersey,,,,,,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Asian/Pacific Islander,New Jersey,,2.2,,2.8,1.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Black/African American,New Jersey,,15,,16.1,13.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Female,New Jersey,,10.2,,10.8,9.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Hispanic/Latino,New Jersey,,9.5,,10.4,8.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - Male,New Jersey,,25.1,,25.9,24.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Drug Deaths - White,New Jersey,,21.1,,21.7,20.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Excessive Drinking,New Jersey,22,18.1,-0.33,19.3,16.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Excessive Drinking - $25-$49,999",New Jersey,14,15.5,-0.66,18.6,12.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Excessive Drinking - $50-$74,999",New Jersey,20,18.8,-0.21,22.9,14.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Excessive Drinking - $75,000 or More",New Jersey,15,21.2,-0.39,23.4,19,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Ages 18-44,New Jersey,23,25.1,-0.08,27.6,22.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Ages 45-64,New Jersey,26,16,0,17.7,14.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Ages 65+,New Jersey,22,6.9,-0.27,8,5.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - American Indian/Alaskan Native,New Jersey,,,,20.3,2.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Asian,New Jersey,,10.7,,14.7,6.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Black,New Jersey,,11.1,,13.8,8.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - College Grad,New Jersey,22,18,-0.18,20,16,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Female,New Jersey,17,12.9,-0.44,14.4,11.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Hawaiian/Pacific Islander,New Jersey,,,,11.7,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - High School Grad,New Jersey,16,16,-0.27,18.4,13.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Hispanic,New Jersey,,20.6,,24.1,17,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Excessive Drinking - Less Than $25,000",New Jersey,24,13.8,0,16.4,11.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Less than High School,New Jersey,,15.4,,19.8,10.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Male,New Jersey,27,23.7,0.12,25.8,21.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Multiracial,New Jersey,,,,17.1,4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Other Race,New Jersey,,,,17.9,0.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Some College,New Jersey,20,16.9,-0.46,19.5,14.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Suburban,New Jersey,,14.3,,16,12.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - Urban,New Jersey,,14.3,,18.2,10.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Excessive Drinking - White,New Jersey,34,20.3,0.25,22,18.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress,New Jersey,21,11.8,-0.1,12.9,10.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Mental Distress - $25-$49,999",New Jersey,46,14.1,1.48,17.2,11,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Mental Distress - $50-$74,999",New Jersey,,10.7,,13.7,7.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Mental Distress - $75,000 or More",New Jersey,46,8.2,1.39,9.7,6.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Ages 18-44,New Jersey,13,13.1,-0.42,15,11.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Ages 45-64,New Jersey,24,12.1,-0.25,13.5,10.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Ages 65+,New Jersey,38,8.7,0.55,10.3,7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - American Indian/Alaskan Native,New Jersey,,,,38.4,6.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Asian,New Jersey,,6.2,,9.1,3.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Black,New Jersey,,12,,14.7,9.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - College Grad,New Jersey,38,7.5,0.43,8.6,6.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Female,New Jersey,20,13.7,-0.26,15.2,12.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Hawaiian/Pacific Islander,New Jersey,,,,5.5,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - High School Grad,New Jersey,36,14.5,0.57,16.8,12.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Hispanic,New Jersey,,12.1,,14.7,9.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Mental Distress - Less than $25,000",New Jersey,12,18.7,-0.37,21.5,16,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Less than High School,New Jersey,22,17.7,0.1,22.1,13.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Male,New Jersey,21,9.8,-0.3,11.2,8.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Multiracial,New Jersey,,24.4,,36.7,12.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Other Race,New Jersey,,,,23,4.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Some College,New Jersey,29,13,0.1,15.3,10.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Suburban,New Jersey,,9.7,,11,8.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - Urban,New Jersey,,14.8,,18.9,10.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Mental Distress - White,New Jersey,28,12.5,0,13.9,11.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress,New Jersey,21,11.7,-0.14,12.6,10.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Physical Distress - $25-$49,999",New Jersey,43,15.7,1.45,18.8,12.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Physical Distress - $50-$74,999",New Jersey,49,12.9,2,15.9,9.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Physical Distress - $75,000 or More",New Jersey,37,6.5,0.49,7.7,5.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Ages 18-44,New Jersey,19,7.3,-0.15,8.8,5.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Ages 45-64,New Jersey,19,14.7,-0.46,16.3,13,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Ages 65+,New Jersey,18,15.9,-0.39,17.7,14.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - American Indian/Alaskan Native,New Jersey,,,,40,10.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Asian,New Jersey,,,,6.3,1.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Black,New Jersey,,10.9,,13.3,8.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - College Grad,New Jersey,9,6.2,-0.63,7.2,5.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Female,New Jersey,20,13.1,-0.26,14.4,11.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Hawaiian/Pacific Islander,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - High School Grad,New Jersey,31,15.8,0.16,17.9,13.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Hispanic,New Jersey,,13.9,,16.7,11.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Frequent Physical Distress - Less than $25,000",New Jersey,10,22.1,-0.49,24.9,19.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Less than High School,New Jersey,29,24.4,0.3,29.3,19.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Male,New Jersey,17,10.1,-0.37,11.4,8.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Multiracial,New Jersey,,21.7,,32.7,10.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Other Race,New Jersey,,,,35.2,8.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Some College,New Jersey,29,14,0.11,16,12,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Suburban,New Jersey,,12.4,,13.7,11.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - Urban,New Jersey,10,12.5,-1.04,15.3,9.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Frequent Physical Distress - White,New Jersey,25,12.2,-0.22,13.4,11,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Fruits,New Jersey,12,1.5,0.57,1.6,1.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack,New Jersey,11,3.8,-0.4,4.3,3.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Attack - $25-$49,999",New Jersey,23,5.4,0.29,6.7,4.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Attack - $50-$74,999",New Jersey,,5,,7.3,2.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Attack - $75,000 or More",New Jersey,16,2.1,-0.35,2.7,1.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Ages 18-44,New Jersey,,1,,1.5,0.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Ages 45-64,New Jersey,14,4,-0.65,5,3.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Ages 65+,New Jersey,5,9.4,-0.77,10.7,8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - American Indian/Alaskan Native,New Jersey,,,,10.3,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Asian,New Jersey,,,,4.7,0.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Black,New Jersey,,4.4,,6.1,2.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - College Grad,New Jersey,16,2.5,-0.18,3,1.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Female,New Jersey,12,2.9,-0.38,3.4,2.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Hawaiian/Pacific Islander,New Jersey,,,,9,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - High School Grad,New Jersey,22,5.6,0,6.9,4.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Hispanic,New Jersey,,3.4,,4.6,2.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Attack - Less Than $25,000",New Jersey,,7,,8.6,5.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Less than High School,New Jersey,,6.7,,9,4.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Male,New Jersey,11,4.7,-0.51,5.6,3.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Multiracial,New Jersey,,,,17.3,1.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Other Race,New Jersey,,,,17,0.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Some College,New Jersey,6,4,-0.76,4.9,3.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Suburban,New Jersey,,4.3,,5,3.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - Urban,New Jersey,,4.7,,6.7,2.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Attack - White,New Jersey,10,3.8,-0.91,4.3,3.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease,New Jersey,16,3.7,-0.2,4.1,3.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Disease - $25-$49,999",New Jersey,,4.7,,5.9,3.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Disease - $50-$74,999",New Jersey,,5.9,,7.9,3.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Disease - $75,000 or More",New Jersey,,2.6,,3.3,1.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Ages 18-44,New Jersey,,,,1.2,0.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Ages 45-64,New Jersey,19,3.8,-0.37,4.6,3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Ages 65+,New Jersey,8,9.9,-0.64,11.3,8.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - American Indian/Alaskan Native,New Jersey,,,,15.2,0.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Asian,New Jersey,,,,2.4,0.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Black,New Jersey,,2.4,,3.5,1.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - College Grad,New Jersey,20,2.9,-0.14,3.4,2.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Female,New Jersey,28,3.3,0.1,3.9,2.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Hawaiian/Pacific Islander,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - High School Grad,New Jersey,19,4.8,-0.28,5.8,3.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Hispanic,New Jersey,,2.8,,3.9,1.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Heart Disease - Less Than $25,000",New Jersey,,5.9,,7.3,4.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Less than High School,New Jersey,,6,,8.1,3.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Male,New Jersey,9,4.1,-0.71,4.8,3.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Multiracial,New Jersey,,,,14.7,0.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Other Race,New Jersey,,,,15,0.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Some College,New Jersey,12,4.3,-0.55,5.6,3.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Suburban,New Jersey,,4.5,,5.2,3.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - Urban,New Jersey,,4.7,,6.3,3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Heart Disease - White,New Jersey,23,4.5,-0.27,5.2,3.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure,New Jersey,32,33,0.19,34.4,31.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"High Blood Pressure - $25-$49,999",New Jersey,35,40.5,0.63,44.4,36.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"High Blood Pressure - $50-$74,999",New Jersey,43,38.5,1,42.8,34.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"High Blood Pressure - $75,000 or More",New Jersey,32,29.5,0.3,31.8,27.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Ages 18-44,New Jersey,35,15.2,0.37,17.3,13.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Ages 45-64,New Jersey,17,37.8,-0.49,40,35.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Ages 65+,New Jersey,38,63,0.57,65.4,60.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - American Indian/Alaskan Native,New Jersey,,33.8,,49.1,18.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Asian,New Jersey,,25.4,,31.2,19.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Black,New Jersey,,41.2,,45.5,36.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - College Grad,New Jersey,27,28.4,0.16,30.3,26.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Female,New Jersey,28,30.2,-0.04,31.9,28.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Hawaiian/Pacific Islander,New Jersey,,,,77.6,10.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - High School Grad,New Jersey,34,42.3,0.32,45.4,39.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Hispanic,New Jersey,,27.4,,30.8,24,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"High Blood Pressure - Less than $25,000",New Jersey,20,42,-0.27,45.3,38.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Less than High School,New Jersey,18,40.5,-0.26,45.9,35.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Male,New Jersey,34,36,0.38,38.2,33.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Multiracial,New Jersey,,41.5,,53.6,29.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Other Race,New Jersey,,37.1,,53.1,21.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Some College,New Jersey,33,37.8,0.31,40.7,34.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,High Blood Pressure - Suburban,New Jersey,,39,,41,37,"CDC, Behavioral Risk Factor Surveillance System",2017
